NAME	DESCRIPTION
RND1	ENSG00000172602
HMCES	ENSG00000183624
ERLIN1	ENSG00000107566
PSIP1	ENSG00000164985
GFM2	ENSG00000164347
RECQL4	ENSG00000160957
ZNF224	ENSG00000267680
NR4A1	ENSG00000123358
WDR20	ENSG00000140153
SGCB	ENSG00000163069
RCSD1	ENSG00000198771
ARHGEF28	ENSG00000214944
CEP41	ENSG00000106477
HSDL2	ENSG00000119471
SLC25A45	ENSG00000162241
SAP130	ENSG00000136715
UBAC1	ENSG00000130560
COX14	ENSG00000178449
FAM129C	ENSG00000167483
SOCS5	ENSG00000171150
DEAF1	ENSG00000177030
PTK6	ENSG00000101213
RASSF1	ENSG00000068028
TRAPPC2L	ENSG00000167515
COPS8	ENSG00000198612
ATP10D	ENSG00000145246
MYH3	ENSG00000109063
COQ8B	ENSG00000123815
FTSJ1	ENSG00000068438
RBBP8	ENSG00000101773
LPCAT2	ENSG00000087253
FUT11	ENSG00000196968
RTCA	ENSG00000137996
NLRP12	ENSG00000142405
SPAG7	ENSG00000091640
SLC6A9	ENSG00000196517
COMMD6	ENSG00000188243
VGLL3	ENSG00000206538
NEPRO	ENSG00000163608
DNAJC24	ENSG00000170946
DPAGT1	ENSG00000172269
NPHP4	ENSG00000131697
UNG	ENSG00000076248
CYP4F8	ENSG00000186526
TMTC3	ENSG00000139324
ECI2	ENSG00000198721
RGPD2	ENSG00000185304
CHPT1	ENSG00000111666
GPRC5C	ENSG00000170412
PPIL4	ENSG00000131013
CCDC84	ENSG00000186166
KAT5	ENSG00000172977
CEP290	ENSG00000198707
HES4	ENSG00000188290
HYKK	ENSG00000188266
GGT1	ENSG00000100031
PARL	ENSG00000175193
RYR3	ENSG00000198838
PLCH1	ENSG00000114805
SLC17A5	ENSG00000119899
TMPRSS4	ENSG00000137648
GABARAPL1	ENSG00000139112
CHM	ENSG00000188419
INTS14	ENSG00000138614
SP6	ENSG00000189120
SUFU	ENSG00000107882
MIEF2	ENSG00000177427
PNMT	ENSG00000141744
ARID5A	ENSG00000196843
SPNS2	ENSG00000183018
RIPOR3	ENSG00000042062
NUDCD2	ENSG00000170584
TDRD3	ENSG00000083544
PGM2	ENSG00000169299
TIMM17B	ENSG00000126768
BTBD19	ENSG00000222009
CDC20	ENSG00000117399
VSIG1	ENSG00000101842
S1PR2	ENSG00000267534
TANGO6	ENSG00000103047
TXNRD2	ENSG00000184470
ABCA6	ENSG00000154262
AP3S1	ENSG00000177879
GREB1L	ENSG00000141449
AEN	ENSG00000181026
ERICH1	ENSG00000104714
IL17RE	ENSG00000163701
ZSCAN31	ENSG00000235109
ZSWIM4	ENSG00000132003
MAD1L1	ENSG00000002822
KCTD7	ENSG00000243335
LAMA1	ENSG00000101680
NABP2	ENSG00000139579
DEXI	ENSG00000182108
SLC4A11	ENSG00000088836
TRMT1	ENSG00000104907
IFIT5	ENSG00000152778
DYNC2LI1	ENSG00000138036
TTC1	ENSG00000113312
ZNF772	ENSG00000197128
NFE2L3	ENSG00000050344
ZNF439	ENSG00000171291
TRAF3IP1	ENSG00000204104
MEN1	ENSG00000133895
CEP63	ENSG00000182923
DLAT	ENSG00000150768
ABRACL	ENSG00000146386
TFCP2	ENSG00000135457
FBXO34	ENSG00000178974
JAK2	ENSG00000096968
PPAN	ENSG00000130810
PDGFC	ENSG00000145431
GFER	ENSG00000127554
PER3	ENSG00000049246
HUS1	ENSG00000136273
PCDH18	ENSG00000189184
ADGRG6	ENSG00000112414
PLLP	ENSG00000102934
DUSP23	ENSG00000158716
HES2	ENSG00000069812
ASCC1	ENSG00000138303
RFX7	ENSG00000181827
MVD	ENSG00000167508
PRKAR2B	ENSG00000005249
MRPL11	ENSG00000174547
ARNT2	ENSG00000172379
CPT1B	ENSG00000205560
LATS2	ENSG00000150457
ZC3H12D	ENSG00000178199
ZNF675	ENSG00000197372
DCTN3	ENSG00000137100
MAPRE2	ENSG00000166974
CACFD1	ENSG00000160325
KCNE4	ENSG00000152049
WDR75	ENSG00000115368
SNX11	ENSG00000002919
E2F3	ENSG00000112242
ATE1	ENSG00000107669
MFSD8	ENSG00000164073
PRKRA	ENSG00000180228
GVQW3	ENSG00000179240
CPNE2	ENSG00000140848
CAV2	ENSG00000105971
RAP1GAP2	ENSG00000132359
TAB1	ENSG00000100324
USP42	ENSG00000106346
PICK1	ENSG00000100151
MVB12A	ENSG00000141971
TPRA1	ENSG00000163870
MFAP3	ENSG00000037749
FBXO27	ENSG00000161243
ASB13	ENSG00000196372
MYH7B	ENSG00000078814
LSM2	ENSG00000204392
KLF2	ENSG00000127528
RAP1GAP	ENSG00000076864
SMARCAD1	ENSG00000163104
AIP	ENSG00000110711
ABCB9	ENSG00000150967
PXDC1	ENSG00000168994
TRMT12	ENSG00000183665
LANCL1	ENSG00000115365
EFL1	ENSG00000140598
CCDC180	ENSG00000197816
TBXA2R	ENSG00000006638
LRRC8D	ENSG00000171492
MANBAL	ENSG00000101363
UBE2E3	ENSG00000170035
FLI1	ENSG00000151702
UBTD2	ENSG00000168246
ARMC6	ENSG00000105676
CADM1	ENSG00000182985
RRNAD1	ENSG00000143303
ITFG1	ENSG00000129636
BCL2L15	ENSG00000188761
COG6	ENSG00000133103
SHROOM4	ENSG00000158352
ALG2	ENSG00000119523
GMEB2	ENSG00000101216
GPATCH1	ENSG00000076650
ZNF555	ENSG00000186300
ENO2	ENSG00000111674
PFKFB2	ENSG00000123836
FKBP3	ENSG00000100442
MFAP4	ENSG00000166482
BICC1	ENSG00000122870
TSEN54	ENSG00000182173
ZNF470	ENSG00000197016
CLPP	ENSG00000125656
FKBP2	ENSG00000173486
TMEM25	ENSG00000149582
AGTRAP	ENSG00000177674
TMEM175	ENSG00000127419
COX17	ENSG00000138495
ETFDH	ENSG00000171503
MRPS6	ENSG00000243927
HDAC11	ENSG00000163517
PITHD1	ENSG00000057757
KLF12	ENSG00000118922
DCUN1D4	ENSG00000109184
MRPS22	ENSG00000175110
UCK1	ENSG00000130717
PTAFR	ENSG00000169403
LRWD1	ENSG00000161036
RAD51C	ENSG00000108384
RND3	ENSG00000115963
PCDHB9	ENSG00000177839
CXorf40B	ENSG00000197021
GOLGA7	ENSG00000147533
COA3	ENSG00000183978
HOXC6	ENSG00000197757
ALOX5	ENSG00000012779
ZNF197	ENSG00000186448
ARL2BP	ENSG00000102931
MRPL54	ENSG00000183617
ACSL4	ENSG00000068366
PAXX	ENSG00000148362
MARCH5	ENSG00000198060
EXOSC8	ENSG00000120699
GIMAP2	ENSG00000106560
BCL10	ENSG00000142867
PLPPR2	ENSG00000105520
CEP135	ENSG00000174799
ENOPH1	ENSG00000145293
PDCD10	ENSG00000114209
INCENP	ENSG00000149503
ZBTB46	ENSG00000130584
KMT5C	ENSG00000133247
NAA35	ENSG00000135040
SRBD1	ENSG00000068784
HS2ST1	ENSG00000153936
PIM2	ENSG00000102096
ARHGAP39	ENSG00000147799
ZNF133	ENSG00000125846
MRPL34	ENSG00000130312
KLF16	ENSG00000129911
ZNF341	ENSG00000131061
CCP110	ENSG00000103540
VPS54	ENSG00000143952
MAPK15	ENSG00000181085
TMEM30B	ENSG00000182107
NPW	ENSG00000183971
EIF2B3	ENSG00000070785
ZFP82	ENSG00000181007
LIMD2	ENSG00000136490
FAM8A1	ENSG00000137414
CXCL14	ENSG00000145824
EMC7	ENSG00000134153
RASSF7	ENSG00000099849
TBC1D2	ENSG00000095383
GTF3C3	ENSG00000119041
GABRP	ENSG00000094755
PDE4D	ENSG00000113448
EXOSC1	ENSG00000171311
FAM149B1	ENSG00000138286
C19orf12	ENSG00000131943
HIST1H2BJ	ENSG00000124635
CSF2RA	ENSG00000198223
LCMT1	ENSG00000205629
TIAF1	ENSG00000221995
HAUS4	ENSG00000092036
SPOUT1	ENSG00000198917
GTF2A1	ENSG00000165417
SUPV3L1	ENSG00000156502
THRB	ENSG00000151090
TIPARP	ENSG00000163659
UBAP1L	ENSG00000246922
PLRG1	ENSG00000171566
BLM	ENSG00000197299
GLCE	ENSG00000138604
KIF4A	ENSG00000090889
UCHL5	ENSG00000116750
DGCR6L	ENSG00000128185
ZNF726	ENSG00000213967
EPC2	ENSG00000135999
TTC9	ENSG00000133985
ARMC1	ENSG00000104442
NT5DC1	ENSG00000178425
VASH2	ENSG00000143494
TLR7	ENSG00000196664
CEP57	ENSG00000166037
PRKCE	ENSG00000171132
SBK1	ENSG00000188322
ANOS1	ENSG00000011201
DDX31	ENSG00000125485
BCL7B	ENSG00000106635
DACT3	ENSG00000197380
SAV1	ENSG00000151748
ZFAT	ENSG00000066827
POLR2J	ENSG00000005075
TMEM80	ENSG00000177042
ZNF286A	ENSG00000187607
NCF2	ENSG00000116701
DUSP11	ENSG00000144048
MBD4	ENSG00000129071
SLC48A1	ENSG00000211584
HEXDC	ENSG00000169660
UBE2B	ENSG00000119048
YPEL1	ENSG00000100027
KIF2A	ENSG00000068796
PVR	ENSG00000073008
KIF21B	ENSG00000116852
GABPA	ENSG00000154727
MIS18BP1	ENSG00000129534
TBC1D13	ENSG00000107021
DMD	ENSG00000198947
CCNJL	ENSG00000135083
CD48	ENSG00000117091
ING4	ENSG00000111653
CHST6	ENSG00000183196
HAT1	ENSG00000128708
HIST1H2AB	ENSG00000278463
TENT5A	ENSG00000112773
GATB	ENSG00000059691
TCEA2	ENSG00000171703
MKRN2	ENSG00000075975
ANKRD54	ENSG00000100124
ZNF570	ENSG00000171827
ADCK2	ENSG00000133597
TUBGCP5	ENSG00000275835
CYFIP2	ENSG00000055163
GDPD5	ENSG00000158555
RGMB	ENSG00000174136
RNASEH1	ENSG00000171865
AL031708.1	ENSG00000261732
SLC25A33	ENSG00000171612
TM2D2	ENSG00000169490
SLC25A13	ENSG00000004864
AKR7A2	ENSG00000053371
PRELP	ENSG00000188783
C2orf49	ENSG00000135974
MRPL55	ENSG00000162910
QPCTL	ENSG00000011478
CRLS1	ENSG00000088766
SDR42E1	ENSG00000184860
BTRC	ENSG00000166167
TMEM179B	ENSG00000185475
PPP6C	ENSG00000119414
ADK	ENSG00000156110
BRMS1	ENSG00000174744
ITGA9	ENSG00000144668
ASNSD1	ENSG00000138381
HNRNPLL	ENSG00000143889
ZNF248	ENSG00000198105
ZNF700	ENSG00000196757
F3	ENSG00000117525
LHFPL6	ENSG00000183722
TRMT9B	ENSG00000250305
OSTF1	ENSG00000134996
TBCCD1	ENSG00000113838
RNF166	ENSG00000158717
TMEM140	ENSG00000146859
CDS1	ENSG00000163624
TMEM199	ENSG00000244045
ZNF747	ENSG00000169955
ENTPD5	ENSG00000187097
PCDHA4	ENSG00000204967
WDR74	ENSG00000133316
HAGHL	ENSG00000103253
SIGMAR1	ENSG00000147955
MLST8	ENSG00000167965
PDE10A	ENSG00000112541
SLC26A11	ENSG00000181045
RAB3IP	ENSG00000127328
LBP	ENSG00000129988
APOOL	ENSG00000155008
FAM136A	ENSG00000035141
MIER2	ENSG00000105556
ARHGAP28	ENSG00000088756
TNIP2	ENSG00000168884
NOL10	ENSG00000115761
CENPP	ENSG00000188312
RGPD6	ENSG00000183054
SCUBE3	ENSG00000146197
SMDT1	ENSG00000183172
MIGA2	ENSG00000148343
DCAF4	ENSG00000119599
NEMP1	ENSG00000166881
FGD3	ENSG00000127084
CDAN1	ENSG00000140326
UXT	ENSG00000126756
ZNF622	ENSG00000173545
CDCA4	ENSG00000170779
FGFR1OP2	ENSG00000111790
ACE2	ENSG00000130234
NR1H3	ENSG00000025434
TMEM203	ENSG00000187713
RCL1	ENSG00000120158
NCAPG2	ENSG00000146918
TMPRSS2	ENSG00000184012
ALG1	ENSG00000033011
MAP2K3	ENSG00000034152
CNNM2	ENSG00000148842
RBM27	ENSG00000091009
GLT8D1	ENSG00000016864
SMG8	ENSG00000167447
RIMS2	ENSG00000176406
ZSWIM6	ENSG00000130449
JAGN1	ENSG00000171135
LAT2	ENSG00000086730
CHAMP1	ENSG00000198824
SRRD	ENSG00000100104
OXCT1	ENSG00000083720
VAV1	ENSG00000141968
AGBL5	ENSG00000084693
MIOS	ENSG00000164654
PYCARD	ENSG00000103490
FEM1C	ENSG00000145780
PNPLA7	ENSG00000130653
ANKRD13C	ENSG00000118454
EMB	ENSG00000170571
KIAA0753	ENSG00000198920
RHOG	ENSG00000177105
HIST1H2AM	ENSG00000278677
HOPX	ENSG00000171476
AC068580.4	ENSG00000250644
TRNT1	ENSG00000072756
ATF5	ENSG00000169136
CCDC150	ENSG00000144395
SEC61G	ENSG00000132432
DRAM2	ENSG00000156171
HIBADH	ENSG00000106049
RHBDD3	ENSG00000100263
FLVCR1	ENSG00000162769
CYP27A1	ENSG00000135929
TEX10	ENSG00000136891
TFAP4	ENSG00000090447
MST1R	ENSG00000164078
KIAA1614	ENSG00000135835
IFRD2	ENSG00000214706
RALGPS1	ENSG00000136828
PPM1D	ENSG00000170836
SERPINE1	ENSG00000106366
CFL2	ENSG00000165410
QRSL1	ENSG00000130348
FAM110A	ENSG00000125898
NSMCE2	ENSG00000156831
AL662899.2	ENSG00000263020
CHI3L1	ENSG00000133048
GMDS	ENSG00000112699
AP4M1	ENSG00000221838
VASN	ENSG00000168140
HDDC2	ENSG00000111906
RHOD	ENSG00000173156
ELMO3	ENSG00000102890
RBAK	ENSG00000146587
ARL5B	ENSG00000165997
IFI35	ENSG00000068079
ATG101	ENSG00000123395
BRINP3	ENSG00000162670
ABTB1	ENSG00000114626
KRT5	ENSG00000186081
TMEM67	ENSG00000164953
PDCD7	ENSG00000090470
EAPP	ENSG00000129518
ZBTB16	ENSG00000109906
BARD1	ENSG00000138376
SCOC	ENSG00000153130
B4GALT4	ENSG00000121578
THEM4	ENSG00000159445
ZNF419	ENSG00000105136
ZCCHC7	ENSG00000147905
NCEH1	ENSG00000144959
PRPF40B	ENSG00000110844
STON2	ENSG00000140022
PDZK1IP1	ENSG00000162366
C1orf159	ENSG00000131591
PLK1	ENSG00000166851
BEX3	ENSG00000166681
HIST1H2BF	ENSG00000277224
LIPH	ENSG00000163898
RNF126	ENSG00000070423
JAM3	ENSG00000166086
TDP2	ENSG00000111802
RNF215	ENSG00000099999
HEPH	ENSG00000089472
FGFR2	ENSG00000066468
RIOX2	ENSG00000170854
BAD	ENSG00000002330
CEP85	ENSG00000130695
ACTR3C	ENSG00000106526
C19orf47	ENSG00000160392
MOB3C	ENSG00000142961
ZNF483	ENSG00000173258
USP28	ENSG00000048028
LILRB4	ENSG00000186818
ST8SIA1	ENSG00000111728
MAGEF1	ENSG00000177383
DISC1	ENSG00000162946
SASH3	ENSG00000122122
COQ9	ENSG00000088682
C1QTNF5	ENSG00000223953
TXNDC9	ENSG00000115514
CCDC200	ENSG00000236383
RNFT2	ENSG00000135119
LRRC1	ENSG00000137269
ZNF75D	ENSG00000186376
C1orf123	ENSG00000162384
OXNAD1	ENSG00000154814
MET	ENSG00000105976
ECHDC1	ENSG00000093144
GPR132	ENSG00000183484
PPARGC1B	ENSG00000155846
SOWAHC	ENSG00000198142
FERMT3	ENSG00000149781
IPO11	ENSG00000086200
RNF217	ENSG00000146373
ABHD4	ENSG00000100439
MISP	ENSG00000099812
DACT1	ENSG00000165617
SLC19A2	ENSG00000117479
TOR1B	ENSG00000136816
TMPRSS13	ENSG00000137747
ZYG11A	ENSG00000203995
RASGRF2	ENSG00000113319
ANK2	ENSG00000145362
USP46	ENSG00000109189
CYB561D1	ENSG00000174151
ALG9	ENSG00000086848
PCDHB1	ENSG00000171815
ZCRB1	ENSG00000139168
TMEM64	ENSG00000180694
SMC2	ENSG00000136824
EBP	ENSG00000147155
MRPS28	ENSG00000147586
LRRC37A	ENSG00000176681
WFDC1	ENSG00000103175
INPP5A	ENSG00000068383
MRPS18C	ENSG00000163319
PLA2G6	ENSG00000184381
TLR2	ENSG00000137462
LRP12	ENSG00000147650
IL18BP	ENSG00000137496
SNN	ENSG00000184602
FEN1	ENSG00000168496
MUC5AC	ENSG00000215182
SNX21	ENSG00000124104
SCAPER	ENSG00000140386
PRPS2	ENSG00000101911
CARF	ENSG00000138380
CKB	ENSG00000166165
LBR	ENSG00000143815
ZNHIT6	ENSG00000117174
STK39	ENSG00000198648
IFFO1	ENSG00000010295
C11orf98	ENSG00000278615
TRAPPC1	ENSG00000170043
DPH6	ENSG00000134146
FBXO25	ENSG00000147364
KIF11	ENSG00000138160
RNFT1	ENSG00000189050
SLC35D2	ENSG00000130958
WDR77	ENSG00000116455
ANXA3	ENSG00000138772
UPK3BL1	ENSG00000267368
RARS2	ENSG00000146282
SPI1	ENSG00000066336
GALNT16	ENSG00000100626
ALG12	ENSG00000182858
BAG2	ENSG00000112208
GXYLT1	ENSG00000151233
SOCS4	ENSG00000180008
AJUBA	ENSG00000129474
TTC13	ENSG00000143643
EIPR1	ENSG00000032389
TBC1D7	ENSG00000145979
KLHL18	ENSG00000114648
CAPN10	ENSG00000142330
ZNF213	ENSG00000085644
BCKDHA	ENSG00000248098
PLBD1	ENSG00000121316
FRMPD1	ENSG00000070601
PNO1	ENSG00000115946
RPUSD4	ENSG00000165526
PKP2	ENSG00000057294
CCDC174	ENSG00000154781
FAXC	ENSG00000146267
PIGC	ENSG00000135845
NCALD	ENSG00000104490
KIFC1	ENSG00000237649
ZNF586	ENSG00000083828
PPP1R21	ENSG00000162869
NEB	ENSG00000183091
CDK19	ENSG00000155111
GAL3ST4	ENSG00000197093
HMCN2	ENSG00000148357
ZNF580	ENSG00000213015
GMFB	ENSG00000197045
HAUS5	ENSG00000249115
MTX2	ENSG00000128654
RPS10-NUDT3	ENSG00000270800
ATP8A2	ENSG00000132932
CGAS	ENSG00000164430
ZNF518B	ENSG00000178163
NR1D2	ENSG00000174738
PDE5A	ENSG00000138735
SCAMP1	ENSG00000085365
ZNF254	ENSG00000213096
DVL2	ENSG00000004975
DEDD2	ENSG00000160570
NPFFR1	ENSG00000148734
C11orf54	ENSG00000182919
DNAAF1	ENSG00000154099
SLC22A18	ENSG00000110628
SEMA4A	ENSG00000196189
ZBTB18	ENSG00000179456
HIBCH	ENSG00000198130
RORC	ENSG00000143365
COA4	ENSG00000181924
MRPS17	ENSG00000239789
TMTC4	ENSG00000125247
CXorf36	ENSG00000147113
RINT1	ENSG00000135249
B4GALT7	ENSG00000027847
ZBTB42	ENSG00000179627
UXS1	ENSG00000115652
ZKSCAN5	ENSG00000196652
DMAC1	ENSG00000137038
CNTROB	ENSG00000170037
UBXN11	ENSG00000158062
TLE2	ENSG00000065717
CDK2	ENSG00000123374
ORMDL1	ENSG00000128699
CCDC167	ENSG00000198937
ENTPD7	ENSG00000198018
C2orf92	ENSG00000228486
FOS	ENSG00000170345
ITK	ENSG00000113263
KIAA2012	ENSG00000182329
ISCA2	ENSG00000165898
ACKR2	ENSG00000144648
ZCCHC17	ENSG00000121766
MPZL3	ENSG00000160588
PUS7	ENSG00000091127
HMGCL	ENSG00000117305
AK9	ENSG00000155085
AP3M2	ENSG00000070718
MRPL52	ENSG00000172590
RYBP	ENSG00000163602
MRPS2	ENSG00000122140
FBP1	ENSG00000165140
NIP7	ENSG00000132603
SLC24A1	ENSG00000074621
REXO4	ENSG00000148300
AKIRIN2	ENSG00000135334
MPHOSPH6	ENSG00000135698
HRAS	ENSG00000174775
FLNC	ENSG00000128591
SLC41A3	ENSG00000114544
ARHGEF39	ENSG00000137135
PYCR3	ENSG00000104524
DGUOK	ENSG00000114956
SNPH	ENSG00000101298
IKBIP	ENSG00000166130
FAM160A1	ENSG00000164142
MATN3	ENSG00000132031
RASA2	ENSG00000155903
NFATC1	ENSG00000131196
ALPK3	ENSG00000136383
FAM114A2	ENSG00000055147
THAP6	ENSG00000174796
USP21	ENSG00000143258
SLX4IP	ENSG00000149346
GRAMD2B	ENSG00000155324
SLC25A43	ENSG00000077713
AKTIP	ENSG00000166971
GIMAP6	ENSG00000133561
KIAA0895L	ENSG00000196123
SERTAD4	ENSG00000082497
HIST1H2BE	ENSG00000274290
CNPY4	ENSG00000166997
SCN8A	ENSG00000196876
ZNF616	ENSG00000204611
CALHM2	ENSG00000138172
SF3B6	ENSG00000115128
MRPS12	ENSG00000128626
ZBTB21	ENSG00000173276
MRPL53	ENSG00000204822
SMIM26	ENSG00000232388
PGGT1B	ENSG00000164219
NUSAP1	ENSG00000137804
NAA16	ENSG00000172766
THEMIS2	ENSG00000130775
ERG28	ENSG00000133935
IFT57	ENSG00000114446
SCRN3	ENSG00000144306
C7orf26	ENSG00000146576
TRIM73	ENSG00000178809
TMCO4	ENSG00000162542
OAF	ENSG00000184232
RRAS	ENSG00000126458
CIR1	ENSG00000138433
STOML1	ENSG00000067221
NFKBIB	ENSG00000104825
STX17	ENSG00000136874
PPM1L	ENSG00000163590
TBK1	ENSG00000183735
PLEKHG5	ENSG00000171680
MIPEP	ENSG00000027001
OLR1	ENSG00000173391
PWWP2B	ENSG00000171813
TCP11L2	ENSG00000166046
ERCC2	ENSG00000104884
RFNG	ENSG00000169733
ZNF577	ENSG00000161551
KBTBD6	ENSG00000165572
BPIFB2	ENSG00000078898
PSMD10	ENSG00000101843
GPR160	ENSG00000173890
ZSCAN2	ENSG00000176371
ZNF442	ENSG00000198342
AC005041.1	ENSG00000159239
C7	ENSG00000112936
SLFN12L	ENSG00000205045
PARM1	ENSG00000169116
GTPBP3	ENSG00000130299
MMRN2	ENSG00000173269
SLC25A46	ENSG00000164209
PLEKHA4	ENSG00000105559
FADS3	ENSG00000221968
SLC37A4	ENSG00000137700
SH3D21	ENSG00000214193
DHPS	ENSG00000095059
ZNF724	ENSG00000196081
ZNF510	ENSG00000081386
CRYZ	ENSG00000116791
MARC1	ENSG00000186205
CRY1	ENSG00000008405
KIAA1755	ENSG00000149633
GPC6	ENSG00000183098
COQ10B	ENSG00000115520
MLXIPL	ENSG00000009950
CPXM1	ENSG00000088882
C9orf85	ENSG00000155621
KANK4	ENSG00000132854
TAMM41	ENSG00000144559
PIK3CA	ENSG00000121879
PRXL2B	ENSG00000157870
SLC41A1	ENSG00000133065
KIF1BP	ENSG00000198954
RABL3	ENSG00000144840
SMYD5	ENSG00000135632
GEMIN4	ENSG00000179409
AGPAT4	ENSG00000026652
CCSAP	ENSG00000154429
SCD5	ENSG00000145284
GRPEL1	ENSG00000109519
STIM2	ENSG00000109689
ABHD14B	ENSG00000114779
ZBTB33	ENSG00000177485
CCDC66	ENSG00000180376
RHBDD1	ENSG00000144468
CTNS	ENSG00000040531
RCBTB1	ENSG00000136144
RAB40C	ENSG00000197562
HOXB2	ENSG00000173917
ZNF200	ENSG00000010539
SYT15	ENSG00000204176
LRRC75A	ENSG00000181350
ABCB10	ENSG00000135776
ATP6V1C2	ENSG00000143882
C1orf35	ENSG00000143793
TMEM222	ENSG00000186501
CWF19L2	ENSG00000152404
SPATA33	ENSG00000167523
TTC5	ENSG00000136319
CAMKK1	ENSG00000004660
TSR3	ENSG00000007520
TRMT10B	ENSG00000165275
NDC1	ENSG00000058804
CCDC36	ENSG00000173421
TRIM47	ENSG00000132481
DFFB	ENSG00000169598
FBXL17	ENSG00000145743
SLC25A25	ENSG00000148339
GPSM1	ENSG00000160360
LIN54	ENSG00000189308
CDK2AP2	ENSG00000167797
ZNF334	ENSG00000198185
VPS9D1	ENSG00000075399
EDNRA	ENSG00000151617
SPOCK1	ENSG00000152377
RAB33B	ENSG00000172007
FCHSD1	ENSG00000197948
ME1	ENSG00000065833
SLC27A3	ENSG00000143554
MOSPD2	ENSG00000130150
AMER1	ENSG00000184675
LMF1	ENSG00000103227
ALAS1	ENSG00000023330
GPC4	ENSG00000076716
TMEM260	ENSG00000070269
FBXO48	ENSG00000204923
NAE1	ENSG00000159593
DTWD2	ENSG00000169570
PHACTR1	ENSG00000112137
TOX3	ENSG00000103460
ACAD11	ENSG00000240303
MRPL40	ENSG00000185608
CCDC40	ENSG00000141519
CBR4	ENSG00000145439
DAPP1	ENSG00000070190
NINL	ENSG00000101004
KBTBD12	ENSG00000187715
ASMTL	ENSG00000169093
CCDC157	ENSG00000187860
SCFD2	ENSG00000184178
HDAC10	ENSG00000100429
TSNARE1	ENSG00000171045
BTBD10	ENSG00000148925
XRCC1	ENSG00000073050
ECM2	ENSG00000106823
RGS10	ENSG00000148908
ANKRD26	ENSG00000107890
ABT1	ENSG00000146109
ZDHHC17	ENSG00000186908
NDUFA8	ENSG00000119421
AGAP6	ENSG00000204149
TRIM32	ENSG00000119401
SNX22	ENSG00000157734
NAPEPLD	ENSG00000161048
DSN1	ENSG00000149636
SNX25	ENSG00000109762
PRR15L	ENSG00000167183
HMGN3	ENSG00000118418
TMEM104	ENSG00000109066
PTPRD	ENSG00000153707
BIRC3	ENSG00000023445
RASGEF1B	ENSG00000138670
RAB12	ENSG00000206418
TLCD1	ENSG00000160606
C6orf47	ENSG00000204439
SMAD6	ENSG00000137834
DTD1	ENSG00000125821
GGH	ENSG00000137563
METAP1	ENSG00000164024
SESN1	ENSG00000080546
KCTD2	ENSG00000180901
NUDCD1	ENSG00000120526
COA5	ENSG00000183513
NDUFA5	ENSG00000128609
RNGTT	ENSG00000111880
MXI1	ENSG00000119950
MFHAS1	ENSG00000147324
LIFR	ENSG00000113594
NEK8	ENSG00000160602
SFN	ENSG00000175793
DBF4B	ENSG00000161692
PREX2	ENSG00000046889
PAPOLG	ENSG00000115421
IRF2	ENSG00000168310
GPN1	ENSG00000198522
CSRP2	ENSG00000175183
METTL6	ENSG00000206562
DPT	ENSG00000143196
AC104389.4	ENSG00000239920
GUF1	ENSG00000151806
PGP	ENSG00000184207
SETMAR	ENSG00000170364
WRAP73	ENSG00000116213
RPA2	ENSG00000117748
PIEZO2	ENSG00000154864
TMEM45B	ENSG00000151715
CD226	ENSG00000150637
IMPACT	ENSG00000154059
ACOT2	ENSG00000119673
JADE3	ENSG00000102221
QTRT1	ENSG00000213339
PRRT3	ENSG00000163704
GSTZ1	ENSG00000100577
ZACN	ENSG00000186919
PTP4A3	ENSG00000184489
SELENOO	ENSG00000073169
EVI5L	ENSG00000142459
ARRDC4	ENSG00000140450
INVS	ENSG00000119509
ARHGEF16	ENSG00000130762
NPL	ENSG00000135838
PIK3R5	ENSG00000141506
AKR1C3	ENSG00000196139
NDUFAF3	ENSG00000178057
ACOT8	ENSG00000101473
ZBTB24	ENSG00000112365
LRRC45	ENSG00000169683
PTBP2	ENSG00000117569
PHKA1	ENSG00000067177
C12orf4	ENSG00000047621
SLC7A6OS	ENSG00000103061
MRPL58	ENSG00000167862
UBA5	ENSG00000081307
CCDC120	ENSG00000147144
SVIP	ENSG00000198168
PLPBP	ENSG00000147471
MAD2L1	ENSG00000164109
DGKE	ENSG00000153933
TOP3B	ENSG00000100038
NATD1	ENSG00000274180
PFDN6	ENSG00000204220
CALCRL	ENSG00000064989
NSMCE3	ENSG00000185115
FABP5	ENSG00000164687
ERMAP	ENSG00000164010
ZNF787	ENSG00000142409
PDZD11	ENSG00000120509
GLCCI1	ENSG00000106415
MITF	ENSG00000187098
ZNF559	ENSG00000188321
SMARCD3	ENSG00000082014
SEZ6L2	ENSG00000174938
MOAP1	ENSG00000165943
LURAP1L	ENSG00000153714
NOL7	ENSG00000225921
SNRPE	ENSG00000182004
ACBD7	ENSG00000176244
FBXL4	ENSG00000112234
MRPL10	ENSG00000159111
FBXO41	ENSG00000163013
PAQR4	ENSG00000162073
AKR7A3	ENSG00000162482
UBE2C	ENSG00000175063
ACSS3	ENSG00000111058
WDR4	ENSG00000160193
OTUD6B	ENSG00000155100
HOXC10	ENSG00000180818
SCIMP	ENSG00000161929
KLHL8	ENSG00000145332
WNK4	ENSG00000126562
MAK16	ENSG00000198042
ZC3H10	ENSG00000135482
C1orf216	ENSG00000142686
SGSM1	ENSG00000167037
TDRD7	ENSG00000196116
NDUFS4	ENSG00000164258
CLCN5	ENSG00000171365
